Field,Type,Description,Notes
,,,
TABLE: SAFEHOUSES,,,
Purpose: Physical locations where girls are housed and served,,,
Field,Type,Description,
safehouse_id,integer,Primary key,
safehouse_code,string,Human-readable short code (e.g. SH-01),
name,string,Display name,
region,string,"One of: Luzon, Visayas, Mindanao",
city,string,City of the safehouse,
province,string,Province of the safehouse,
country,string,Always Philippines,
open_date,date,Date the safehouse opened,
status,string,Active or Inactive,
capacity_girls,integer,Maximum number of girls the facility can house,
capacity_staff,integer,Target on-site staff headcount,
current_occupancy,integer,Current number of girls housed,
notes,string,Free-text notes,
,,,
,,,
TABLE: PARTNERS,,,
Purpose: Organizations and individuals contracted to deliver services,,,
Field,Type,Description,
partner_id,integer,Primary key,
partner_name,string,Full name or organization name,
partner_type,string,Organization or Individual,
role_type,string,"One of: Education, Evaluation, SafehouseOps, FindSafehouse, Logistics, Transport, Maintenance",
contact_name,string,Primary contact person,
email,string,Contact email address,
phone,string,Contact phone number,
region,string,Primary region served,
status,string,Active or Inactive,
start_date,date,Contract start date,
end_date,date,Contract end date; null if still active,
notes,string,Free-text notes,
,,,
,,,
TABLE: PARTNER_ASSIGNMENTS,,,
Purpose: Assignments of partners to safehouses and program areas,,,
Field,Type,Description,
assignment_id,integer,Primary key,
partner_id,integer,FK -> partners.partner_id,
safehouse_id,integer,FK -> safehouses.safehouse_id (nullable),
program_area,string,"One of: Education, Wellbeing, Operations, Transport, Maintenance",
assignment_start,date,Assignment start date,
assignment_end,date,Assignment end date; null if active,
responsibility_notes,string,Description of the assignment,
is_primary,boolean,Whether this is the partner's primary assignment,
status,string,Active or Ended,
,,,
,,,
TABLE: SUPPORTERS,,,
"Purpose: Donors, volunteers, skilled contributors, and partner organizations that provide support",,,
Field,Type,Description,
supporter_id,integer,Primary key,
supporter_type,string,"One of: MonetaryDonor, InKindDonor, Volunteer, SkillsContributor, SocialMediaAdvocate, PartnerOrganization",
display_name,string,Name shown in communications,
organization_name,string,Organization name (null for individuals),
first_name,string,First name (null for organizations),
last_name,string,Last name (null for organizations),
relationship_type,string,"One of: Local, International, PartnerOrganization",
region,string,Region of record,
country,string,Country of the supporter,
email,string,Contact email address,
phone,string,Contact phone number,
status,string,Active or Inactive,
first_donation_date,date,Date of the supporter's first donation (nullable),
acquisition_channel,string,"One of: Website, SocialMedia, Event, WordOfMouth, PartnerReferral, Church",
created_at,datetime,When the supporter record was created,
,,,
,,,
TABLE: DONATIONS,,,
Purpose: Donation events across all donation types,,,
Field,Type,Description,
donation_id,integer,Primary key,
supporter_id,integer,FK -> supporters.supporter_id,
donation_type,string,"One of: Monetary, InKind, Time, Skills, SocialMedia",
donation_date,date,Date of the donation,
channel_source,string,"One of: Campaign, Event, Direct, SocialMedia, PartnerReferral",
currency_code,string,PHP for monetary; null otherwise,
amount,decimal,Monetary amount; null for non-monetary,
estimated_value,decimal,Value in the unit given by impact_unit,
impact_unit,string,"One of: pesos, items, hours, campaigns",
is_recurring,boolean,Whether this donation is part of a recurring commitment,
campaign_name,string,Name of the fundraising campaign if applicable (nullable),
notes,string,Free-text notes,
created_by_partner_id,integer,FK -> partners.partner_id (nullable),
referral_post_id,integer,FK -> social_media_posts.post_id (nullable),
,,,
,,,
TABLE: IN_KIND_DONATION_ITEMS,,,
Purpose: Line-item details for in-kind donations,,,
Field,Type,Description,
item_id,integer,Primary key,
donation_id,integer,FK -> donations.donation_id,
item_name,string,Item description,
item_category,string,"One of: Food, Supplies, Clothing, SchoolMaterials, Hygiene, Furniture, Medical",
quantity,integer,Quantity donated,
unit_of_measure,string,"One of: pcs, boxes, kg, sets, packs",
estimated_unit_value,decimal,Estimated value per unit in PHP,
intended_use,string,"One of: Meals, Education, Shelter, Hygiene, Health",
received_condition,string,"One of: New, Good, Fair",
,,,
,,,
TABLE: DONATION_ALLOCATIONS,,,
Purpose: How donations are allocated across safehouses and program areas,,,
Field,Type,Description,
allocation_id,integer,Primary key,
donation_id,integer,FK -> donations.donation_id,
safehouse_id,integer,FK -> safehouses.safehouse_id,
program_area,string,"One of: Education, Wellbeing, Operations, Transport, Maintenance, Outreach",
amount_allocated,decimal,Allocated value in PHP,
allocation_date,date,Date of allocation,
allocation_notes,string,Free-text notes,
,,,
,,,
TABLE: RESIDENTS,,,
Purpose: Case records for girls currently or formerly served by the organization,,,
Field,Type,Description,
resident_id,integer,Primary key,
case_control_no,string,Case control number (e.g. C0073),
internal_code,string,Anonymized internal identifier,
safehouse_id,integer,FK -> safehouses.safehouse_id,
case_status,string,"One of: Active, Closed, Transferred",
sex,string,F (all residents are female),
date_of_birth,date,Date of birth,
birth_status,string,"One of: Marital, Non-Marital",
place_of_birth,string,City/municipality of birth,
religion,string,Religious affiliation,
case_category,string,"One of: Abandoned, Foundling, Surrendered, Neglected",
sub_cat_orphaned,boolean,Is the child orphaned?,
sub_cat_trafficked,boolean,Is the child a trafficked child?,
sub_cat_child_labor,boolean,Is the child a victim of child labor?,
sub_cat_physical_abuse,boolean,Is the child a victim of physical abuse?,
sub_cat_sexual_abuse,boolean,Is the child a victim of sexual abuse?,
sub_cat_osaec,boolean,Is the child a victim of OSAEC/CSAEM?,
sub_cat_cicl,boolean,Is the child in conflict with the law?,
sub_cat_at_risk,boolean,Is the child at risk (CAR)?,
sub_cat_street_child,boolean,Is the child in a street situation?,
sub_cat_child_with_hiv,boolean,Is the child living with HIV?,
is_pwd,boolean,Is the child a person with a disability?,
pwd_type,string,Type of disability if applicable (nullable),
has_special_needs,boolean,Does the child have mental/health/developmental needs?,
special_needs_diagnosis,string,Diagnosis/type if applicable (nullable),
family_is_4ps,boolean,Is the family a 4Ps beneficiary?,
family_solo_parent,boolean,Is the parent a solo parent?,
family_indigenous,boolean,Is the family part of an indigenous group?,
family_parent_pwd,boolean,Is the parent a person with a disability?,
family_informal_settler,boolean,Is the family an informal settler or homeless?,
date_of_admission,date,Date admitted to the safehouse,
age_upon_admission,string,Age at admission,
present_age,string,Current age as of reporting date,
length_of_stay,string,Duration in the center,
referral_source,string,"One of: Government Agency, NGO, Police, Self-Referral, Community, Court Order",
referring_agency_person,string,Name of referring agency or person,
date_colb_registered,date,Date Certificate of Live Birth was registered (nullable),
date_colb_obtained,date,Date Certificate of Live Birth was obtained (nullable),
assigned_social_worker,string,Name(s) of assigned social worker(s),
initial_case_assessment,string,Initial assessment/plan,
date_case_study_prepared,date,Date the child case study report was prepared (nullable),
reintegration_type,string,"One of: Family Reunification, Foster Care, Adoption (Domestic), Adoption (Inter-Country), Independent Living, None",
reintegration_status,string,"One of: Not Started, In Progress, Completed, On Hold",
initial_risk_level,string,"Risk level assessed at intake. One of: Low, Medium, High, Critical",
current_risk_level,string,"Most recently assessed risk level. One of: Low, Medium, High, Critical",
date_enrolled,date,Same as date_of_admission,
date_closed,date,Date the case was closed; null if still open,
created_at,datetime,Record creation timestamp,
notes_restricted,string,Restricted-access free-text field,
,,,
,,,
TABLE: PROCESS_RECORDINGS,,,
Purpose: Structured counseling session notes for each resident,,,
Field,Type,Description,
recording_id,integer,Primary key,
resident_id,integer,FK -> residents.resident_id,
session_date,date,Date of the counseling session,
social_worker,string,Name of the social worker conducting the session,
session_type,string,"One of: Individual, Group",
session_duration_minutes,integer,Duration of the session in minutes,
emotional_state_observed,string,"Emotional state at the start. One of: Calm, Anxious, Sad, Angry, Hopeful, Withdrawn, Happy, Distressed",
emotional_state_end,string,Emotional state at the end of the session,
session_narrative,string,Narrative summary of the session,
interventions_applied,string,Description of interventions or techniques used,
follow_up_actions,string,Planned follow-up actions,
progress_noted,boolean,Whether progress was noted in this session,
concerns_flagged,boolean,Whether any concerns were flagged,
referral_made,boolean,Whether a referral was made to another professional,
notes_restricted,string,Restricted-access free-text field,
,,,
,,,
TABLE: HOME_VISITATIONS,,,
Purpose: Records of home and field visits conducted by social workers,,,
Field,Type,Description,
visitation_id,integer,Primary key,
resident_id,integer,FK -> residents.resident_id,
visit_date,date,Date of the visit,
social_worker,string,Name of the social worker who conducted the visit,
visit_type,string,"One of: Initial Assessment, Routine Follow-Up, Reintegration Assessment, Post-Placement Monitoring, Emergency",
location_visited,string,Location or address visited,
family_members_present,string,Description of who was present,
purpose,string,Purpose of the visit,
observations,string,Narrative observations about the home environment and family,
family_cooperation_level,string,"One of: Highly Cooperative, Cooperative, Neutral, Uncooperative",
safety_concerns_noted,boolean,Whether safety concerns were noted during the visit,
follow_up_needed,boolean,Whether follow-up action is needed,
follow_up_notes,string,Details of required follow-up (nullable),
visit_outcome,string,"One of: Favorable, Needs Improvement, Unfavorable, Inconclusive",
,,,
,,,
TABLE: EDUCATION_RECORDS,,,
Purpose: Monthly education progress records for each resident,,,
Field,Type,Description,
education_record_id,integer,Primary key,
resident_id,integer,FK -> residents.resident_id,
record_date,date,Date of the record,
program_name,string,"One of: Bridge Program, Secondary Support, Vocational Skills, Literacy Boost",
course_name,string,"One of: Math, English, Science, Life Skills, Computer Basics, Livelihood",
education_level,string,"One of: Primary, Secondary, Vocational, CollegePrep",
attendance_status,string,"One of: Present, Late, Absent",
attendance_rate,decimal,Rolling attendance rate (0.0-1.0),
progress_percent,decimal,Overall program progress (0-100),
completion_status,string,"One of: NotStarted, InProgress, Completed",
gpa_like_score,decimal,Grade-like composite (1.0-5.0 scale),
notes,string,Free-text notes,
,,,
,,,
TABLE: HEALTH_WELLBEING_RECORDS,,,
Purpose: Monthly physical health and wellbeing records for each resident,,,
Field,Type,Description,
health_record_id,integer,Primary key,
resident_id,integer,FK -> residents.resident_id,
record_date,date,Date of the record,
weight_kg,decimal,Body weight in kilograms,
height_cm,decimal,Height in centimeters,
bmi,decimal,Body mass index,
nutrition_score,decimal,Nutrition quality score (1.0-5.0),
sleep_score,decimal,Sleep quality score (1.0-5.0),
energy_score,decimal,Daytime energy score (1.0-5.0),
general_health_score,decimal,Overall health score (1.0-5.0),
medical_checkup_done,boolean,Whether a medical check-up was conducted this period,
dental_checkup_done,boolean,Whether a dental check-up was conducted this period,
psychological_checkup_done,boolean,Whether a psychological check-up was conducted this period,
medical_notes_restricted,string,Restricted-access free-text field,
,,,
,,,
TABLE: INTERVENTION_PLANS,,,
"Purpose: Individual intervention plans, goals, and services provided to each resident",,,
Field,Type,Description,
plan_id,integer,Primary key,
resident_id,integer,FK -> residents.resident_id,
plan_category,string,"One of: Safety, Psychosocial, Education, Physical Health, Legal, Reintegration",
plan_description,string,Description of the intervention or goal,
services_provided,string,"Services provided (e.g. Caring, Healing, Teaching, Legal Services)",
target_value,decimal,Numeric target for the goal on the relevant scale (nullable),
target_date,date,Target date for achievement,
status,string,"One of: Open, In Progress, Achieved, On Hold, Closed",
case_conference_date,date,Date of the case conference where this plan was created/reviewed (nullable),
created_at,datetime,Record creation timestamp,
updated_at,datetime,Last update timestamp,
,,,
,,,
TABLE: INCIDENT_REPORTS,,,
Purpose: Individual safety and behavioral incident records for residents,,,
Field,Type,Description,
incident_id,integer,Primary key,
resident_id,integer,FK -> residents.resident_id,
safehouse_id,integer,FK -> safehouses.safehouse_id,
incident_date,date,Date of the incident,
incident_type,string,"One of: Behavioral, Medical, Security, RunawayAttempt, SelfHarm, ConflictWithPeer, PropertyDamage",
severity,string,"One of: Low, Medium, High",
description,string,Narrative description of the incident,
response_taken,string,Description of the staff response,
resolved,boolean,Whether the incident has been resolved,
resolution_date,date,Date the incident was resolved (nullable),
reported_by,string,Name of the staff member who reported the incident,
follow_up_required,boolean,Whether follow-up action is required,
,,,
,,,
TABLE: SOCIAL_MEDIA_POSTS,,,
Purpose: Records of the organization's social media activity across platforms,,,
Field,Type,Description,
post_id,integer,Primary key,
platform,string,"One of: Facebook, Instagram, Twitter, TikTok, LinkedIn, YouTube, WhatsApp",
platform_post_id,string,Simulated platform-native post ID,
post_url,string,Permalink URL to the post,
created_at,datetime,Full date and time the post was published,
day_of_week,string,"Day of the week (e.g. Monday, Tuesday)",
post_hour,integer,Hour of the day the post was published (0-23),
post_type,string,"One of: ImpactStory, Campaign, EventPromotion, ThankYou, EducationalContent, FundraisingAppeal",
media_type,string,"One of: Photo, Video, Carousel, Text, Reel",
caption,string,Full text caption of the post,
hashtags,string,Comma-separated list of hashtags used,
num_hashtags,integer,Count of hashtags used,
mentions_count,integer,Number of @mentions in the post,
has_call_to_action,boolean,Whether the post includes a call to action,
call_to_action_type,string,"One of: DonateNow, LearnMore, ShareStory, SignUp (nullable)",
content_topic,string,"One of: Education, Health, Reintegration, DonorImpact, SafehouseLife, EventRecap, CampaignLaunch, Gratitude, AwarenessRaising",
sentiment_tone,string,"One of: Hopeful, Urgent, Celebratory, Informative, Grateful, Emotional",
caption_length,integer,Character count of the caption,
features_resident_story,boolean,Whether the post features a specific resident's anonymized story,
campaign_name,string,Associated campaign name if any (nullable),
is_boosted,boolean,Whether paid promotion was used for this post,
boost_budget_php,decimal,Amount spent on paid promotion in PHP (nullable),
impressions,integer,Total number of times the post was displayed,
reach,integer,Number of unique accounts that saw the post,
likes,integer,Number of likes or reactions,
comments,integer,Number of comments,
shares,integer,Number of shares or retweets,
saves,integer,Number of saves or bookmarks,
click_throughs,integer,Number of clicks to the organization's website,
video_views,integer,Number of video views (nullable; Video and Reel only),
engagement_rate,decimal,Engagement rate: (likes + comments + shares) / reach,
profile_visits,integer,Number of profile visits attributed to this post,
donation_referrals,integer,Number of donations attributed to this post,
estimated_donation_value_php,decimal,Estimated total PHP value of donations referred by this post,
follower_count_at_post,integer,Organization's follower count on this platform at time of posting,
watch_time_seconds,integer,Total watch time in seconds (YouTube only; nullable),
avg_view_duration_seconds,integer,Average seconds each viewer watched (YouTube only; nullable),
subscriber_count_at_post,integer,YouTube subscriber count at time of posting (nullable),
forwards,integer,Number of message forwards (WhatsApp only; nullable),
,,,
,,,
TABLE: SAFEHOUSE_MONTHLY_METRICS,,,
Purpose: Pre-aggregated monthly metrics for each safehouse,,,
Field,Type,Description,
metric_id,integer,Primary key,
safehouse_id,integer,FK -> safehouses.safehouse_id,
month_start,date,First day of the month,
month_end,date,Last day of the month,
active_residents,integer,Number of residents assigned during the month,
avg_education_progress,decimal,Mean education progress (0-100),
avg_health_score,decimal,Mean general health score (1.0-5.0),
process_recording_count,integer,Total process recording entries for the month,
home_visitation_count,integer,Total home visitations conducted,
incident_count,integer,Total safety incidents recorded,
notes,string,Free-text notes,
,,,
,,,
TABLE: PUBLIC_IMPACT_SNAPSHOTS,,,
Purpose: Monthly anonymized aggregate impact reports for public-facing dashboards and donor communications,,,
Field,Type,Description,
snapshot_id,integer,Primary key,
snapshot_date,date,Month the snapshot represents,
headline,string,Headline text for the snapshot,
summary_text,string,Short paragraph summary,
metric_payload_json,string,JSON string of aggregated metrics,
is_published,boolean,Whether the snapshot has been published,
published_at,date,Publication date,
,,,
